Airline,Route,sentiment_score
Emirates,ADL to DEL via DXB,0.9717
Cathay Pacific Airways,ADL to HKG,0.9844
Cathay Pacific Airways,ADL to HKG,0.9875
Singapore Airlines,ADL to SIN,-0.8455
Cathay Pacific Airways,AKL to MAN via HKG,-0.8799
Cathay Pacific Airways,AKL to MNL via HKG,0.9476
Cathay Pacific Airways,AKL to MXP via HKG,0.9562
Singapore Airlines,AKL to SIN,-0.742
Emirates,AKL to SYD,0.9883
Turkish Airlines,AMM to BOG via IST,-0.0177
Qatar Airways,AMM to DOH,0.8166
Turkish Airlines,AMM to YYZ via IST,0.994
EVA Air,AMS to BKK,0.995
Qatar Airways,AMS to BKK via DOH,0.9601
Air France,AMS to CAI via CDG,0.785
Emirates,AMS to DAR via DXB,0.0267
Qatar Airways,AMS to DPS via DOH,-0.5859
Emirates,AMS to DXB,0.9866
Air France,AMS to DXB via CDG,0.6971
Air France,AMS to DXB via CDG,-0.4727
Air France,AMS to LIM via CDG,0.8941
Singapore Airlines,AMS to MEL via SIN,-0.6249
Air France,AMS to MRS,0.8885
Turkish Airlines,AMS to SAW,0.9621
Singapore Airlines,AMS to SIN,0.9513
Qatar Airways,ARN to DOH,0.2862
Qatar Airways,ARN to LHE via DOH,-0.5563
Emirates,ARN to MNL,-0.8334
Qatar Airways,ARN to SIN via DOH,-0.3407
Emirates,ATH to CEB via DXB,0.9348
Turkish Airlines,ATH to CPT via IST,-0.89
Air France,ATH to HAV via CDG,0.6652
Qatar Airways,ATH to JNB via DOH,0.8883
Qatar Airways,ATL to KWI via DOH,0.8873
Qatar Airways,AUH to PER via DOH,0.9816
All Nippon Airways,AUS to KUL via NRT,0.9169
Turkish Airlines,AYT to FRA via IST,0.8663
Turkish Airlines,AYT to SAW,-0.6196
Turkish Airlines,AYT to ZRH via IST,0.9801
Air France,Aberdeen to Dallas via Paris,-0.807
Air France,Aberdeen to Lisbon via Paris,-0.9291
Turkish Airlines,Abidjan to Beirut via Istanbul,-0.905
Qatar Airways,Abu Dhabi to Bangkok via Doha,0.9442
Turkish Airlines,Abu Dhabi to Barcelona via Istanbul,-0.8263
Qatar Airways,Abu Dhabi to Brussels via Doha,0.9524
Qatar Airways,Abu Dhabi to Bucharest via Doha,-0.8658
Qatar Airways,Abu Dhabi to Hong Kong via Doha,0.9964
Qatar Airways,Abu Dhabi to Johannesburg via Doha,0.982
Qatar Airways,Abu Dhabi to Johannesburg via Doha,0.9951
Turkish Airlines,Abu Dhabi to Luxembourg via Istanbul,-0.9443
Qatar Airways,Abu Dhabi to Manchester via Doha,-0.8122
Qatar Airways,Abu Dhabi to Nairobi via Doha,0.2958
Turkish Airlines,Abu Dhabi to Thessaloniki via Istanbul,-0.8175
Turkish Airlines,Abu Dhabi to Warsaw via Istanbul,-0.6314
Air France,Abuja to Amsterdam via Paris,-0.3937
Turkish Airlines,Abuja to London,-0.9154
Turkish Airlines,Accra to Bucharest via Istanbul,-0.9261
Turkish Airlines,Accra to Istanbul,-0.4624
Turkish Airlines,Accra to New York via Istanbul,-0.7838
Turkish Airlines,Accra to New York via Istanbul,-0.3976
Turkish Airlines,Adana to İstanbul,0.6408
Emirates,Addis Ababa to Bangkok via Dubai,0.2263
Turkish Airlines,Addis Ababa to Chicago via Istanbul,0.8067
Turkish Airlines,Addis Ababa to London via Istanbul,0.9643
Emirates,Addis Ababa to Los Angeles via Dubai,0.982
Turkish Airlines,Addis Ababa to Los Angeles via Istanbul,0.9587
Turkish Airlines,Addis Ababa to Lyon via Istanbul,-0.8126
Turkish Airlines,Addis Ababa to Washington via Istanbul,-0.9199
Cathay Pacific Airways,Adelaide to Bangkok via Hong Kong,0.9623
Cathay Pacific Airways,Adelaide to Chiang Mai via Hong Kong,0.7918
Qatar Airways,Adelaide to Doha,0.9626
Qatar Airways,Adelaide to Doha,0.9804
Qatar Airways,Adelaide to Doha,0.9906
Qatar Airways,Adelaide to Edinburgh via Doha,0.9136
Qatar Airways,Adelaide to Frankfurt via Doha,-0.8799
Qatar Airways,Adelaide to London via Doha,0.9855
Qatar Airways,Adelaide to London via Doha,0.9929
Cathay Pacific Airways,Adelaide to London via Hong Kong,-0.646
Cathay Pacific Airways,Adelaide to London via Hong kong,0.7056
Qatar Airways,Adelaide to Manchester via Doha,-0.7227
Emirates,Adelaide to Multan via Dubai,-0.9079
Qatar Airways,Adelaide to Oslo via Doha,0.9774
Singapore Airlines,Adelaide to Paris via Singapore,0.9859
Singapore Airlines,Adelaide to Singapore,0.989
Singapore Airlines,Adelaide to Singapore,-0.9323
Singapore Airlines,Adelaide to Singapore,0.927
Singapore Airlines,Adelaide to Singapore,-0.4541
Cathay Pacific Airways,Adelaide to Tokyo via Hong Kong,0.9292
Qatar Airways,Adelaide to Zurich via Doha,0.162
Qatar Airways,Adelaide to Zurich via Doha,0.9886
Singapore Airlines,Adelaide to Zurich via Singaphore,0.7506
Emirates,Adélaïde to Paris via Melbourne and Dubai,-0.9419
Qatar Airways,Ahmedabad to Chicago via Doha,0.8793
Qatar Airways,Ahmedabad to Detroit via Doha,0.0
Emirates,Ahmedabad to Dubai,0.9654
Emirates,Ahmedabad to Dubai,-0.2748
Emirates,Ahmedabad to Los Angeles via Dubai,0.9953
Qatar Airways,Ahmedabad to New York via Doha,0.9788
Singapore Airlines,Ahmedabad to San Francisco via Singapore,0.9682
Air France,Ajaccio to Paris Orly,0.7425
Japan Airlines,Akita to Sapporo,0.1615
Turkish Airlines,Alanya to Dallas via Istanbul,-0.9185
Turkish Airlines,Alexandria to Atyrau via Istanbul,-0.8479
Turkish Airlines,Alexandria to London via Istanbul,-0.8268
Emirates,Algiers to Bangkok via Dubai,0.9954
Qatar Airways,Algiers to Doha,0.9683
Turkish Airlines,Algiers to Dubai via Istanbul,-0.8275
Turkish Airlines,Algiers to Manchester via Istanbul,0.8799
Air France,Algiers to New York via Paris,0.3491
Qatar Airways,Algiers to Riyadh via Doha,0.9595
Turkish Airlines,Almaty to London via Istanbul,-0.7963
Qatar Airways,Amman to Bangkok via Doha,0.948
Turkish Airlines,Amman to Dallas via Istanbul,0.9705
Emirates,Amman to Dubai,0.9707
Turkish Airlines,Amman to Dublin via Istanbul,-0.9777
Qatar Airways,Amman to Johannesburg via Doha,0.9089
Emirates,Amman to Kuala Lumpur,-0.9861
Emirates,Amman to Los Angeles via Dubai,0.9339
Qatar Airways,Amman to Perth via Doha,0.7184
Qatar Airways,Amman to Sydney via Doha,0.9117
Qatar Airways,Amman to Sydney via Doha,0.8361
Emirates,Amman to Sydney via Dubai,-0.9719
Qatar Airways,Amritsar to Atlanta via Doha,0.8669
Qatar Airways,Amritsar to Dubai via Doha,0.9489
Qatar Airways,Amritsar to Vancouver via Doha,0.3439
Turkish Airlines,Amsterdam to Abu Dhabi via Istanbul,-0.9382
Turkish Airlines,Amsterdam to Amman via Istanbul,0.9761
Turkish Airlines,Amsterdam to Ankara via Istanbul,-0.893
Turkish Airlines,Amsterdam to Ankara via Istanbul,-0.0
Turkish Airlines,Amsterdam to Antalya via SAW,0.8537
Turkish Airlines,Amsterdam to Aqaba via Istanbul,-0.8885
Korean Air,Amsterdam to Auckland via Seoul,-0.7332
Emirates,Amsterdam to Bangalore via Dubai,0.9127
Emirates,Amsterdam to Bangalore via Dubai,-0.8352
EVA Air,Amsterdam to Bangkok,0.9516
EVA Air,Amsterdam to Bangkok,0.8956
EVA Air,Amsterdam to Bangkok,0.9336
Qatar Airways,Amsterdam to Bangkok via Doha,-0.6486
